date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:00	10887/10887	---M--	200	added ('OK')	image/jpeg	etag:%221c2ba3b7fe53a16b213718e13776f9bb%22	https://cash-clone.vercel.app/icons/bitcoin.jpg	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/bitcoin.jpg	(from https://cash-clone.vercel.app/home.html)
08:58:00	12413/12413	---M--	200	added ('OK')	image/jpeg	etag:%220eb3a294880173348847ef4ff8b189bb%22	https://cash-clone.vercel.app/icons/stocks.jpg	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/stocks.jpg	(from https://cash-clone.vercel.app/home.html)
08:58:00	22301/22301	---M--	200	added ('OK')	image/png	etag:%2280cdbfdaba2ae455ae6da6b7a7a291aa%22	https://cash-clone.vercel.app/icons/person-circle-svgrepo-com.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/person-circle-svgrepo-com.png	(from https://cash-clone.vercel.app/home.html)
08:58:01	1299/1299	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e1e8f14494f6baa13cded9a06ed73ca%22	https://cash-clone.vercel.app/saving.js	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/saving.js	(from https://cash-clone.vercel.app/home.html)
08:58:01	13771/13771	---MCZ	200	added ('OK')	text/html	etag:W/%22c2f6a666a7cb07a895468a9ecae3b43a%22	https://cash-clone.vercel.app/support.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/support.html	(from https://cash-clone.vercel.app/profile.html)
08:58:02	4478/4478	---M--	200	added ('OK')	image/png	etag:%22b781af2f1625cd02399fddd39d1f1d6e%22	https://cash-clone.vercel.app/images/pi2_camera_button_disabled.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/images/pi2_camera_button_disabled.png	(from https://cash-clone.vercel.app/profile.html)
08:58:02	7425/7425	---M--	200	added ('OK')	image/png	etag:%22088b1b28c81227ae3de38018940cddc2%22	https://cash-clone.vercel.app/icons/Visa-logo-white.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/Visa-logo-white.png	(from https://cash-clone.vercel.app/card.html)
08:58:03	828238/828238	---M--	200	added ('OK')	image/png	etag:%223d2ff9e85c504dc2e493597c71b5123e%22	https://cash-clone.vercel.app/icons/file_000000002e7c620a9c33e8cf24d4606c.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/file_000000002e7c620a9c33e8cf24d4606c.png	(from https://cash-clone.vercel.app/contact-pay.html)
08:58:03	55141/55141	---M--	200	added ('OK')	image/png	etag:%22b8ccfca4c3d5df5ef6c08aff7582d438%22	https://cash-clone.vercel.app/icons/Cash_App-Logo.wine.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/Cash_App-Logo.wine.png	(from https://cash-clone.vercel.app/contact-pay.html)
08:58:03	13144/13144	---M--	200	added ('OK')	image/png	etag:%220c2d1a8869239a2ff3eb58b854eb4fd8%22	https://cash-clone.vercel.app/icons/mastercard-2-logo-svgrepo-com.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/mastercard-2-logo-svgrepo-com.png	(from https://cash-clone.vercel.app/contact-pay.html)
08:58:04	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Dec%202025%2003:13:04%20GMT	https://cash-clone.vercel.app/${editingContact.avatar}	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/${editingContact.1d.delayed	(from https://cash-clone.vercel.app/contact-pay.html)
08:58:05	12292/12292	---MCZ	200	added ('OK')	text/html	etag:W/%228332b24491166880655bd3f2d1415b94%22	https://cash-clone.vercel.app/payment-result.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/payment-result.html	(from https://cash-clone.vercel.app/contact-pay.html)
